collected_at_utc,collected_at_tehran,source,symbol,fund_name,ins_code,last_price,closing_price,yesterday_price,price_change,price_change_percent,nav_subscription,nav_redemption
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,آتش,صندوق طلای آتش,,40455,,39991,464,1.16,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,آلتون,صندوق طلای آلتون,,71700,,70843,857,1.21,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,امرالد,صندوق طلای امرالد,,30483,,30265,218,0.72,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,تابش,صندوق طلای تابش,,91750,,91284,466,0.51,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,جام طلا,صندوق طلای جام طلا,,20547,,20319,228,1.12,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,جواهر,صندوق طلای جواهر,,84132,,83448,684,0.82,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,درخشان,صندوق طلای درخشان,,41001,,40595,406,1,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,درنا,صندوق طلای درنا,,25755,,25462,293,1.15,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,رز ترنج,صندوق طلای رز ترنج,,28155,,27871,284,1.02,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,رزگلد,صندوق طلای رزگلد,,21230,,21160,70,0.33,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,ریتون,صندوق طلای ریتون,,21800,,21644,156,0.72,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,زر,صندوق طلای زر,,961941,,953361,8580,0.9,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,زرفام,صندوق طلای زرفام,,165000,,162338,2662,1.64,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,زرگر,صندوق طلای زرگر,,23025,,22768,257,1.13,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,زروان,صندوق طلای زروان,,45462,,44941,521,1.16,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,زمرد,صندوق طلای زمرد,,31451,,31161,290,0.93,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,عیار,صندوق طلای عیار,,629900,,623972,5928,0.95,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,قیراط,صندوق طلای قیراط,,40658,,40319,339,0.84,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,کهربا,صندوق طلای کهربا,,217503,,215073,2430,1.13,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,گلدا,صندوق طلای گلدا,,20176,,19976,200,1,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,گلدیس,صندوق طلای گلدیس,,43752,,43004,748,1.74,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,گنج,صندوق طلای گنج,,194299,,192490,1809,0.94,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,گوهر,صندوق طلای گوهر,,1087499,,1073649,13850,1.29,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,لوتوس,صندوق طلای لوتوس,,1598700,,1580993,17707,1.12,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,لیان,صندوق طلای لیان,,41298,,40776,522,1.28,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,مثقال,صندوق طلای مثقال,,183188,,181806,1382,0.76,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,ناب,صندوق طلای ناب,,76919,,76097,822,1.08,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,نفیس,صندوق طلای نفیس,,132436,,130569,1867,1.43,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,نگین فارس,صندوق طلای نگین فارس,,17502,,17317,185,1.07,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,همیان,صندوق طلای همیان,,19892,,19631,261,1.33,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,میراث,صندوق طلای میراث,,13750,,13467,283,2.1,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,نهال,صندوق طلای نهال,,74867,,74591,276,0.37,,
2026-09-15T12:49:15.481429+00:00,2026-09-15T16:19:15.481429+03:30,TGJU,سافرون,صندوق طلای سافرون,,74878,,74647,231,0.31,,
